monitoring_date,EE_2a_jamshidian,EE_2b_mc,diff_bps
0.25,0.016140065824634564,0.01613533846114019,-0.04727363494372999
0.5,0.02258911604748426,0.022588561494969957,-0.00554552514301504
0.75,0.027268440460297527,0.027354327743170256,0.8588728287272849
1.0,0.030965981615997284,0.03120846921038609,2.424875943888051
1.25,0.03399368911266065,0.03410630804037405,1.1261892771340098
1.5,0.036513760349875635,0.03659585383535867,0.8209348548303408
1.75,0.03862324173674486,0.03854940326769524,-0.7383846904962521
2.0,0.04038547952768956,0.04033676462560718,-0.4871490208237933
2.25,0.041844372351821424,0.04170632269380846,-1.3804965801296476
2.5,0.04303171863376615,0.04270868013668357,-3.230384970825742
2.75,0.04397136691683212,0.04365019080098746,-3.2117611584465964
3.0,0.04468172600254405,0.044257038390682374,-4.246876118616793
3.25,0.04517736544324913,0.0448186084928416,-3.587569504075322
3.5,0.04547007955687199,0.045145644594412386,-3.244349624596035
3.75,0.04556961886632255,0.04521889258623146,-3.5072628009108486
4.0,0.04548420666768083,0.04526167087570467,-2.225357919761542
4.25,0.0452209118549895,0.04495944668473836,-2.6146517025113503
4.5,0.04478592268653747,0.04452302398039597,-2.628987061415039
4.75,0.04418475052107396,0.04379830601147365,-3.8644450960030605
5.0,0.04342238294134115,0.0429583888708769,-4.639940704642548
5.25,0.042503399593484814,0.04212107468890241,-3.8232490458240536
5.5,0.04143206010488365,0.041074835626189216,-3.572244786944345
5.75,0.04021237079488943,0.039894711854164745,-3.176589407246841
6.0,0.038848135085152724,0.0386509730393236,-1.9716204582912593
6.25,0.03734299125673474,0.03708247195620824,-2.6051930052649332
6.5,0.03570044030743191,0.03537638832595882,-3.2405198147309604
6.75,0.03392386601729841,0.03358751378199389,-3.36352235304517
7.0,0.03201654885698885,0.03168769840446499,-3.2885045252385723
7.25,0.029981675020820886,0.02972482231115378,-2.568527096671047
7.5,0.027822341600116207,0.02761879328777419,-2.0354831234201813
7.75,0.025541558708398193,0.025359373656421304,-1.8218505197688946
8.0,0.02314224921181196,0.022986972152596197,-1.5527705921576305
8.25,0.02062724659401166,0.02048763347271399,-1.3961312129767007
8.5,0.017999291386137373,0.017883475890471512,-1.158154956658608
8.75,0.015261026513424425,0.01513550583794476,-1.2552067547966574
9.0,0.01241499184587802,0.012323517868550347,-0.9147397732767355
9.25,0.009463618188015777,0.009397588825973238,-0.6602936204253874
9.5,0.0064092208994266375,0.00637654602840821,-0.3267487101842742
9.75,0.003253993302052949,0.003241146911361703,-0.128463906912458
10.0,0.0,0.0,0.0
